,verb
0,add
1,base
2,remind
3,attend
4,settle
5,lock
6,give
7,import
8,search
9,effort
10,realize
11,configure
12,know
13,send
14,execute
15,choose
16,inform
17,post
18,teach
19,classify
20,use
21,prepare
22,accept
23,complete
24,warn
25,finalize
26,uninstall
27,find
28,copy
29,browse
30,clean
31,apply
32,block
33,share
34,deactivate
35,register
36,perform
37,recalculate
38,fill
39,have
40,remove
41,cancel
42,extend
43,synchronize
44,track
45,navigate
46,do
47,rank
48,delete
49,check
50,translate
51,save
52,acquire
53,close
54,belong
55,select
56,edit
57,notify
58,create
59,bind
60,confirm
61,make
62,filter
63,define
64,look
65,view
66,exam
67,exist
68,enter
69,publish
70,verify
71,issue
72,install
73,read
74,assign
75,approve
76,log
77,access
78,get
79,be
80,join
81,provide
82,submit
83,report
84,modify
85,download
86,run
87,set
88,reject
89,preview
90,print
91,manage
92,purchase
93,determine
94,withdraw
95,move
96,support
97,generate
98,compile
99,familiarize
100,change
101,unlock
102,address
103,order
104,display
105,admit
106,unblock
